date,air_temp,air_temp_avg,wind_speed_10ft,wind_dir_10ft
2016.884705,3.48,3.51,5.80,236.90
2016.884724,3.41,3.46,6.41,296.60
2016.884743,3.56,3.46,1.98,261.40
2016.884762,3.71,3.69,2.83,330.30
2016.884781,3.77,3.69,0.94,311.60
2016.8848,3.53,3.70,7.07,23.70
2016.884819,3.77,3.64,2.61,298.20
2016.884838,3.75,3.76,4.91,354.30
2016.884857,3.76,3.75,-9999.00,317.70
2016.884876,3.93,3.90,2.41,296.30
2016.884895,3.78,3.79,5.93,291.40
2016.884914,4.01,3.88,5.13,349.80
2016.884933,4.07,4.04,4.25,290.20
2016.884952,4.05,4.07,3.11,317.30
2016.884971,4.04,4.15,2.47,286.70
2016.88499,4.09,4.12,4.29,282.50
2016.884952,3.99,4.02,4.30,305.20
2016.885028,3.88,3.92,4.31,327.90
2016.885047,3.79,3.78,5.29,277.10
2016.885066,3.74,3.76,4.70,351.30
2016.885085,3.59,3.71,-9999.00,292.60
2016.885104,3.46,3.51,3.26,295.80
2016.885123,3.13,3.31,3.08,315.70
2016.885142,2.98,3.10,3.79,314.80
2016.885161,2.83,2.89,4.51,313.90
2016.885179,2.73,2.70,4.05,272.20
2016.885198,2.60,2.65,3.02,299.30
2016.885217,2.50,2.42,3.14,320.10
2016.885236,2.73,2.62,3.03,285.50
2016.885255,2.95,2.82,5.86,303.70
2016.885274,2.72,2.78,4.91,299.80
2016.885293,2.56,2.60,3.20,317.70
2016.885312,2.44,2.50,3.83,304.50
2016.885331,2.32,2.39,4.46,291.30
2016.88535,2.72,2.54,5.51,300.90
2016.885369,2.69,2.69,2.19,331.20
2016.885388,2.98,2.81,-9999.00,325.80
2016.885407,2.93,2.94,3.75,295.60
2016.885426,2.95,2.92,4.29,293.80
2016.885445,3.24,3.14,6.22,323.70
2016.885407,3.39,3.28,5.65,327.45
2016.885483,3.54,3.43,5.07,331.20
2016.885502,3.36,3.47,3.17,303.30
2016.885521,3.40,3.32,4.45,305.60
2016.88554,3.58,3.47,5.02,313.80
2016.885616,3.48,3.41,4.91,307.60
2016.885578,3.38,3.36,4.80,301.40
